date,weekday,target_delta,call_strike,put_strike,actual_call_delta,actual_put_delta,strike_width,entry_gamma,entry_theta,iv,call_entry_price,put_entry_price,straddle_cost,hedge_count,transaction_costs,daily_pnl,first_third_pnl,mid_third_pnl,last_third_pnl,peak_pnl,trough_pnl,peak_time,trough_time,total_minutes
2026-03-16,Monday,0.25,602.0,598.0,0.199,-0.232,4.0,23.055,-7.1002,0.25,0.2795,0.3432,62.27,3,1.26,11.02,9.8,38.37,-26.82,45.75,-8.32,15:05,13:43,123
2026-03-18,Wednesday,0.25,603.0,600.0,0.265,-0.29,3.0,26.382,-8.1676,0.25,0.4077,0.4632,87.1,9,3.0,121.51,28.04,80.66,23.05,137.35,-5.75,15:19,13:31,93
2026-03-25,Wednesday,0.25,591.0,588.0,0.302,-0.246,3.0,26.666,-7.9422,0.25,0.4769,0.3648,84.17,12,4.88,186.66,108.5,-6.48,97.21,222.28,-6.73,15:43,13:33,151
2026-03-30,Monday,0.25,568.0,565.0,0.31,-0.224,3.0,27.2499,-7.4998,0.25,0.4743,0.3107,78.5,6,2.59,71.69,90.18,-15.71,8.9,117.65,-5.07,14:44,13:30,151
2026-04-01,Wednesday,0.25,583.0,580.0,0.255,-0.287,3.0,26.953,-7.7977,0.25,0.3751,0.4402,81.53,5,2.37,90.95,85.69,8.38,10.84,103.15,-5.07,15:58,13:30,143
2026-04-06,Monday,0.25,589.0,586.0,0.306,-0.241,3.0,26.7001,-7.9001,0.25,0.4846,0.3536,83.82,8,3.07,195.06,185.82,38.17,-18.37,252.48,-6.92,14:40,13:32,151
2026-04-09,Thursday,0.25,608.0,604.0,0.197,-0.239,4.0,22.9596,-7.2115,0.25,0.2787,0.3604,63.91,8,2.97,79.87,49.32,9.79,31.34,86.22,-5.93,15:48,13:31,150
2026-02-04,Wednesday,0.35,614.0,612.0,0.35,-0.27,2.0,34.9621,-11.2608,0.25,0.4716,0.332,80.36,12,5.17,299.3,256.89,18.74,37.74,308.3,-5.07,16:00,14:30,89
2026-02-09,Monday,0.35,607.0,605.0,0.289,-0.326,2.0,35.4175,-11.1293,0.25,0.3572,0.4231,78.03,2,1.6,102.35,60.65,27.65,32.71,117.0,-5.07,15:57,14:30,91
2026-02-11,Wednesday,0.35,618.0,617.0,0.383,-0.422,1.0,38.2786,-12.4895,0.25,0.5388,0.6236,116.24,3,1.82,52.77,68.2,8.52,-6.57,73.01,-5.07,15:27,14:30,91
2026-02-18,Wednesday,0.35,602.0,601.0,0.362,-0.438,1.0,39.1094,-12.1019,0.25,0.4854,0.6418,112.72,4,2.1,117.32,84.45,31.96,19.4,133.79,-10.07,15:57,14:35,91
2026-02-23,Monday,0.35,608.0,607.0,0.377,-0.425,1.0,38.8481,-12.2667,0.25,0.5187,0.6193,113.8,3,2.05,187.04,115.2,11.22,78.96,205.25,-5.07,15:59,14:30,91
2026-02-25,Wednesday,0.35,613.0,612.0,0.37,-0.433,1.0,38.503,-12.3562,0.25,0.51,0.6429,115.28,3,1.83,5.55,19.87,-14.6,11.01,24.84,-11.67,14:58,14:38,78
2026-03-02,Monday,0.35,601.0,599.0,0.279,-0.333,2.0,35.6411,-10.9761,0.25,0.3372,0.4315,76.87,2,1.64,72.73,80.71,17.37,-11.36,95.03,-5.07,15:13,14:30,63
2026-03-04,Wednesday,0.35,607.0,605.0,0.315,-0.299,2.0,35.4381,-11.1447,0.25,0.4034,0.3754,77.88,8,3.58,133.46,31.87,104.77,11.07,142.84,-6.13,15:24,14:32,76
2026-03-09,Monday,0.35,597.0,595.0,0.368,-0.324,2.0,29.2494,-8.9021,0.25,0.6351,0.5325,116.76,10,4.26,262.89,127.47,136.37,10.39,274.69,-6.01,15:18,13:32,146
